id,description,Saturados (g),Monoinsaturados (g),Poliinsaturados (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),22:0 (g),24:0 (g),14:1 (g),16:1 (g),18:1 (g),20:1 (g),18:2 n-6 (g),18:3 n-3 (g),20:4 (g),20:5 (g),22:5 (g),22:6 (g),18:1t (g),18:2t (g)
311,"Pintado, assado",1.8,1.3,0.3,Tr,0.16,1.05,0.46,0.02,0.01,,0.02,0.18,0.97,0.06,0.12,0.06,0.04,0.01,,0.02,Tr,0.01
312,"Pintado, cru",0.6,0.4,0.1,,0.03,0.40,0.12,Tr,Tr,Tr,,0.12,0.32,Tr,0.02,0.02,0.01,0.01,0.01,0.01,Tr,
313,"Pintado, grelhado",1.1,0.7,0.2,Tr,0.04,0.61,0.34,0.01,0.01,,0.01,0.09,0.50,0.03,0.09,0.02,0.02,0.01,Tr,Tr,Tr,Tr
314,"Porquinho, cru",0.4,0.1,Tr,Tr,0.01,0.19,0.14,Tr,Tr,Tr,,0.01,0.11,Tr,0.02,Tr,Tr,Tr,,Tr,Tr,
315,"Salmão, filé, com pele, fresco,  grelhado",3.1,4.4,7.0,,0.51,2.02,0.61,,,,,0.69,3.37,0.23,2.99,0.40,0.09,1.21,0.59,1.22,,
316,"Salmão, sem pele, fresco, cru",2.5,2.9,3.1,0.01,0.30,1.39,0.49,0.04,0.12,0.07,,0.36,2.26,0.19,1.73,0.03,0.04,0.43,0.22,0.46,,
317,"Salmão, sem pele, fresco, grelhado",3.6,4.1,5.0,0.01,0.42,2.00,0.73,0.05,0.17,0.10,,0.54,3.18,0.29,2.43,0.33,0.07,0.72,0.36,0.75,0.02,
318,"Sardinha, assada",1.7,0.5,0.3,,0.16,1.07,0.36,0.03,0.02,0.01,Tr,0.11,0.33,0.02,0.04,0.02,0.02,0.05,Tr,0.18,,
319,"Sardinha, conserva em óleo",4.1,5.5,11.9,,0.32,2.66,0.84,0.11,0.11,0.04,,0.33,5.03,0.09,9.78,0.99,0.09,0.44,0.06,0.46,,0.07
320,"Sardinha, frita",2.6,3.1,6.1,,0.07,1.71,0.62,0.06,0.07,0.02,,0.06,2.92,0.04,5.13,0.43,0.03,0.09,0.01,0.36,,0.09
321,"Sardinha, inteira, crua",1.7,0.5,0.2,Tr,0.21,1.00,0.27,0.02,0.01,0.01,,0.13,0.28,0.02,0.03,0.02,0.01,0.03,Tr,0.06,Tr,
