		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
Cereais e derivados																								
109	Cenoura, cozida	Tr	Tr	0.1			0.03	Tr				109		 	Tr		0.12	Tr						
115	Couve, manteiga, crua	0.12	Tr	0.1286666667			0.09866666667	0.02133333333				115		0.02	0.01866666667		0.05266666667	0.076						
116	Couve, manteiga, refogada 	1	1.6	3.6			0.7	0.25	0.03	0.03	0.01	116			1.52	0.04	3.16	0.38						
118	Couve-flor, cozida	0.1	Tr	0.1			0.06	Tr	Tr			118		Tr	0.02		0.06	0.06						
120	Espinafre, Nova Zelândia, refogado	0.9	1.3	2.9			0.6	0.22	0.02	0.03	0.02	120		Tr	1.27	0.04	2.55	0.38						0.04
121	Farinha, de mandioca, crua	0.1	0.1	Tr	Tr	Tr	0.08	0.02	Tr	Tr	Tr	121	Tr	Tr	0.08	Tr	0.03	0.01					Tr	0.1
122	Farinha, de mandioca, torrada	0.1	0.1	Tr	Tr	0.03	0.09	0.01				122			0.08		0.03	0.01						
123	Farinha, de puba	0.227	0.1853333333	Tr			0.2036666667	0.02066666667				123			0.1853333333		0.036							
126	Inhame, cru	0.077	Tr	0.078			0.077	Tr	Tr	Tr	Tr	126			0.04466666667		0.078	Tr						
127	Jiló, cru	0.07466666667	0.05066666667	0.1993333333			0.05366666667	0.021	Tr	Tr	Tr	127		Tr	0.05066666667		0.1993333333	Tr						
128	Jurubeba, crua	0.5	0.5	2.1			0.29	0.13	0.01	0.01	0.01	128		0.03	0.48	Tr	2.09	0.03						
129	Mandioca, cozida	0.1	0.1	0.1			0.07	Tr				129			0.1		0.05	0.01						
130	Mandioca, crua	0.062	0.1223333333	Tr			0.062	Tr	Tr	Tr	Tr	130		Tr	0.1223333333	Tr	0.04	Tr					Tr	
